PROD_CD,PROD_DES,OUT_PRICE
()700영15138802090,영림15 발포 130*880*2090/식기무,0.0000000000
()700영PX4516801943,영림PX451 더도어 ABS TA-04 680*1943,0.0000000000
(0)000ZY015배송비,[※구매 전용] 배송비 [대산 비용],0.0000000000
(0)000ZY021가계정,[판매 전용] 가계정,0.0000000000
(0)000ZY022가계정,[※구매 전용] 가계정,0.0000000000
(0)000ZY023가계정,가계정 [재고0개 관리필수],0.0000000000
(0)000ZY024가계정,[[ 가계정 ]],0.0000000000
(0)000ZY025비품,[비품] 대산 자체사용,0.0000000000
(0)000ZY100할인,[판매 전용] 할 인 적 용,0.0000000000
(0)000ZY100할인1,[※구매 전용] 할 인 적 용,0.0000000000
(0)000ZY101장려금,[판매 전용] 판매장려금,0.0000000000
(0)000ZYA00기술료,―◈[판매 전용] 재단비 ※별도 상담건※,0.0000000000
(0)000ZYA01기술료,―◈[판매 전용] 합판재단비- 12T 이하,0.0000000000
(0)000ZYA02기술료,―◈[판매 전용] 합판재단비- 14.5~23T,0.0000000000
(0)000ZYA03기술료,―◈[판매 전용] 합판재단비- 24T 이상,0.0000000000
(0)000ZYA04기술료,―◈[판매 전용] 각재재단비- 1단/1컷/소송!,0.0000000000
(0)000ZYA05기술료,―◈[판매 전용] 각재재단비- 2*8 이상,0.0000000000
(0)000ZYA06기술료,―◈[판매 전용] 각재재단비- 2*6 이하,0.0000000000
(0)000ZYA07기술료,―◈[판매 전용] 합판길게쭉- 12T 이하 / 10전▲,0.0000000000
(0)000ZYA08기술료,―◈[판매 전용] 합판길게쭉- 14.5~23T / 10전▲,0.0000000000
(0)000ZYA09기술료,―◈[판매 전용] 합판길게쭉- 24T 이상 / 10전▲,0.0000000000
(0)000ZYA10기술료,―◈[판매 전용] 합판길게쭉- 12T 이하 / 9전▼,0.0000000000
(0)000ZYA11기술료,―◈[판매 전용] 합판길게쭉- 14.5~23T / 9전▼,0.0000000000
(0)000ZYA12기술료,―◈[판매 전용] 합판길게쭉- 24T 이상 / 9전▼,0.0000000000
(0)000ZYB01사춤,―――――단열사춤 [창 호],0.0000000000
(0)000ZYB01창호할인,―――――할인예정액 [창 호],0.0000000000
(0)000ZYB01철거비,―――――철거 [창 호],0.0000000000
(0)000ZYB03양중비,―――――양중작업료 [창 호],0.0000000000
(0)000ZYB03짜투리,[[ 짜투리 판매 ]],0.0000000000
(0)000ZYB04A반품비,[※구매 전용] 반품수수료 차감,0.0000000000
(0)000ZYB04반품비,[판매 전용] 반품수수료 차감,0.0000000000
(0)000ZYB05중문시공,중문 시공비,0.0000000000
(0)000ZYB06우신11,[영림] 아펠창호 시공비 - 우신종합상사/용인마평우성,0.0000000000
(0)000ZYB07중문시공,[예림] 중문 시공비,0.0000000000
(0)000ZYB08구매,[※구매 전용] 특별관리용 (구매팀 전용),0.0000000000
(0)000ZYB08마루시공,영림 마루 시공비,0.0000000000
(0)000ZYB09권역비,영림 시공 권역비,0.0000000000
(0)000ZYB10마루시공,영림 마루 프로파일 시공비,0.0000000000
(0)000ZYB10포장비,포장비,0.0000000000
(0)000ZYB11성능검사,성능검사비비,0.0000000000
(0)000ZYB11창호시공,[LX] 표준시공비,0.0000000000
(0)000ZYB11폐석고비,폐석고비 [건설팀],0.0000000000
(0)000ZYZZZZZZ,----------------------------------------------------------------------,0.0000000000
(0)00ZYB11창호실측,[LX] 표준실측비,0.0000000000
(0700예EZ8652060,예림43 ABS EZ-001 민자 865*2060,0.0000000000
(1)100LVL30308,◈LVL●30*30★8자★ (합판 한치각) [단],0.0000000000
(1)100구조재A14,◈구조재 1*4 12자 (19*89) 원포,0.0000000000
(1)100구조재A16,◈구조재 1*6 12자 (19*140) 원식스,0.0000000000
(1)100구조재A18,◈구조재 1*8 12자 (19*184) 원에잇,0.0000000000
(1)100구조재B110,◈구조재 1*10 12자 (19*235) 원텐,0.0000000000
(1)100구조재B112,◈구조재 1*12 12자 (19*286) 원투엘브,0.0000000000
(1)100구조재C22,◈구조재 2*2 12자 (38*38) 투투,0.0000000000
(1)100구조재C24,◈구조재 2*4 12자 (38*89) 투포,0.0000000000
(1)100구조재C26,◈구조재 2*6 12자 (38*140) 투식스,0.0000000000
(1)100구조재C28,◈구조재 2*8 12자 (38*184) 투에잇,0.0000000000
(1)100구조재D212,◈구조재 2*12 12자 (38*286) 투투엘브,0.0000000000
(1)100구조재E70각,◈구조재 70*70 12자 ■(70각재),0.0000000000
(1)100구조재E90각,◈구조재 90*90 12자 ■4*4(90각재) 포포,0.0000000000
(1)100라왕301400원,◈라왕 솔리드 ○원주목○ 30*1400,0.0000000000
(1)100라왕심재,◈라왕 30*40*2100 (심재),0.0000000000
(1)100라왕한치각,◈라왕 30*30*3600 (집성 한치각),0.0000000000
(1)100라왕후지,◈라왕 10*40*2100 (후지),0.0000000000
(1)100목망꽃바둑1015,◈목망 꽃바둑살 10*15*600*1860,0.0000000000
(1)100목망빗살815,야수 목망 빗살 8*15*625*1830,0.0000000000
(1)100목망캡,◈22*24*2000 캡(목망테두리),0.0000000000
