ecount_prod_cd,ecount_prod_des,cafe24_product_no,cafe24_product_code,cafe24_product_name,similarity_score,ecount_out_price2
(1)100LVL30308,◈LVL●30*30★8자★ (합판 한치각) [단],1407,P0000CCD,"LVL 합판각재<br>합판다루끼<br>한치각,투바이",43.24,0.0000000000
(1)100구조재A14,◈구조재 1*4 12자 (19*89) 원포,1674,P0000CMK,마감용 구조재 인테리어등급<BR>1” X 4” (19mm X 89mm) / 원포,52.38,7100.0000000000
(1)100구조재A16,◈구조재 1*6 12자 (19*140) 원식스,1675,P0000CML,마감용 구조재 인테리어등급<BR>1” X 6” (19mm X 140mm) / 원식스,56.52,13500.0000000000
(1)100구조재A18,◈구조재 1*8 12자 (19*184) 원에잇,1676,P0000CMM,마감용 구조재 인테리어등급<BR>1” X 8” (19mm X 184mm) / 원에잇,56.52,17400.0000000000
(1)100구조재B110,◈구조재 1*10 12자 (19*235) 원텐,1677,P0000CMN,마감용 구조재 인테리어등급<BR>1” X 10” (19mm X 235mm) / 원텐,56.52,21500.0000000000
(1)100구조재B112,◈구조재 1*12 12자 (19*286) 원투엘브,1678,P0000CMO,마감용 구조재 인테리어등급<BR>1” X 12” (19mm X 286mm) / 원투엘브,60.0,27700.0000000000
(1)100구조재C22,◈구조재 2*2 12자 (38*38) 투투,1679,P0000CMP,마감용 구조재 인테리어등급<BR>2” X 2” (38mm X 38mm) / 투투,52.38,5200.0000000000
(1)100구조재C24,◈구조재 2*4 12자 (38*89) 투포,1680,P0000CMQ,마감용 구조재 인테리어등급<BR>2” X 4” (38mm X 89mm) / 투포,52.38,10000.0000000000
(1)100구조재C26,◈구조재 2*6 12자 (38*140) 투식스,1681,P0000CMR,마감용 구조재 인테리어등급<BR>2” X 6” (38mm X 140mm) / 투식스,56.52,16200.0000000000
(1)100구조재C28,◈구조재 2*8 12자 (38*184) 투에잇,1682,P0000CMS,마감용 구조재 인테리어등급<BR>2” X 8” (38mm X 184mm) / 투에잇,56.52,25900.0000000000
(1)100구조재D212,◈구조재 2*12 12자 (38*286) 투투엘브,1684,P0000CMU,마감용 구조재 인테리어등급<BR>2” X 12” (38mm X 286mm) / 투투엘브,60.0,47500.0000000000
(1)100구조재E70각,◈구조재 70*70 12자 ■(70각재),836,P0000BGE,뉴송 각재,60.0,23300.0000000000
(1)100구조재E90각,◈구조재 90*90 12자 ■4*4(90각재) 포포,896,P0000BIM,"구조재 (원주목,목봉)",49.09,31400.0000000000
(1)100라왕301400원,◈라왕 솔리드 ○원주목○ 30*1400,1801,P0000CRH,레드파인 집성판<br>솔리드 30T x 1220 x 2440mm,45.0,5900.0000000000
