ecount_prod_cd,ecount_prod_des,ecount_out_price2,ecount_prev_price,cafe24_product_code,cafe24_product_name,cafe24_product_no,매칭상태,최종업데이트
(1)800플로3,풀로베니아(플라스틱) 보양재 3T x 900 x 1800,,,P0000BLQ,플로베니아 백색 900*1800,,성공,
(1)800골판지,종이 롤보양재 3T x 1100 x 40M,,,P0000BLQ,플로베니아 백색 900*1800,,성공,
(1)800하폼건월드9,월드폼 월드 251건,,,P0000CTN,월드폼월드 251건,,성공,
(1)800하폼건월드5,월드폼 티탄 B1 난연폼,,,P0000CTM,월드폼티탄 B1 난연폼,,성공,
(1)800하폼크리너,월드폼 월드폼 전용 크리너,,,P0000CTL,월드폼월드폼 전용 크리너,,성공,
(1)800하폼건월드8,월드폼 좋은폼 (1회용/빨대형),,,P0000CTK,월드폼좋은폼 (1회용/빨대형),,성공,
(1)800하폼건월드3,월드폼 스프레이폼 건타입,,,P0000CSB,월드폼스프레이폼 건타입,,성공,
(1)800하폼건월드4,월드폼 스피드폼 건타입,,,P0000CSA,월드폼스피드폼 건타입,,성공,
(1)800하폼건월드1,월드폼 좋은폼 건타입,,,P0000CRZ,월드폼좋은폼 건타입,,성공,
(1)800하폼건월드2,월드폼 폼본드(난연/B2) 건타입,,,P0000CRY,월드폼폼본드(난연/B2) 건타입,,성공,
(1)600LXPF301800N,30T x 1000 x 1800,,,P0000CHJ,프리미엄 단열재 PF보드LX지인,,성공,
(1)600LXPF501800N,50T x 1000 x 1800,,,P0000CHJ,프리미엄 단열재 PF보드LX지인,,성공,
(1)600LXPF901800N,90T x 1000 x 1800,,,P0000CHJ,프리미엄 단열재 PF보드LX지인,,성공,
(2)600대성GCS13,13T x 900 x 2400,,,P0000CHH,단열재 GCS보드,,성공,
(2)600대성GCS21,21T x 900 x 2400,,,P0000CHH,단열재 GCS보드,,성공,
(2)600대성GCS33,33T x 900 x 2400,,,P0000CHH,단열재 GCS보드,,성공,
(1)503차음시트기본,차음시트 2T 1000 x 1000,,,P0000CHD,차음시트 2T1000 x 1000단면점착,,성공,
(2)503소음차음시트3,차음시트 3T 1000 x 1000,,,P0000CHD,차음시트 2T1000 x 1000단면점착,,성공,
(2)503소음차음시트4,차음시트 4T 1000 x 1000,,,P0000CHD,차음시트 2T1000 x 1000단면점착,,성공,
(1)800텐텐지,1800x길이 85M 백색,,,P0000CHC,텐텐지 백색1800x길이 85M,,성공,
,40*80*900 일반형/물턱없음(ㄱ자형),,,,,,실패,
,52*80*900 일반형/물막이턱형(ㄱ자형),,,,,,실패,
,----------,,,,,,실패,
,60*1800 하부평판(ㅡ자형),,,,,,실패,
,80*1800 하부평판(ㅡ자형),,,,,,실패,
,110*1800 하부평판(ㅡ자형),,,,,,실패,
,140*1800 하부평판(ㅡ자형),,,,,,실패,
,170*1800 하부평판(ㅡ자형),,,,,,실패,
,200*1800 하부평판(ㅡ자형),,,,,,실패,
,230*1800 하부평판(ㅡ자형),,,,,,실패,
(1)200자이02방수936,9.5T x 900 x 1800 (936),,,P0000CCM,GS건설자이 천연 방수석고보드,,성공,
(1)200A자이01일반93,9.5T x 900 x 1800 (936),,,P0000CCL,GS건설자이 천연 일반석고보드,,성공,
(1)200자이05일반938,9.5T x 900 x 2400 (938),,,P0000CCL,GS건설자이 천연 일반석고보드,,성공,
(1)200자이04일반1236,12.5T x 900 x 1800 (1236),,,P0000CCL,GS건설자이 천연 일반석고보드,,성공,
(2)100LVL30308,LVL 합판 다루끼 30x30x3600 1단,,,P0000CCD,"LVL 합판각재합판다루끼한치각,투바이",,성공,
(2)100LVL3069,LVL 합판 투바이 30x69x3600 1단,,,P0000CCD,"LVL 합판각재합판다루끼한치각,투바이",,성공,
(1)100목망꽃바둑1015,600x1860x8x15T,,,P0000CBZ,목망 꽃바둑살600X1860X8X15T,,성공,
(1)100목망캡,목망테두리,,,P0000CBZ,목망 꽃바둑살600X1860X8X15T,,성공,
(1)800점검PVC300,PVC 점검구 300 x 300,,,P0000CBX,PVC 점검구,,성공,
(1)800점검PVC400,PVC 점검구 400 x 400,,,P0000CBX,PVC 점검구,,성공,
(1)800점검PVC450,PVC 점검구 450 x 450,,,P0000CBX,PVC 점검구,,성공,
(1)800레일2,슬라이딩 레일 실버 2m,,,P0000CBW,"행거레일댐퍼형(30kg,50kg,80kg)",,성공,
(1)800레일3,슬라이딩 레일 실버 3m,,,P0000CBW,"행거레일댐퍼형(30kg,50kg,80kg)",,성공,
(1)800행가양댐30,양댐퍼 N30,,,P0000CBW,"행거레일댐퍼형(30kg,50kg,80kg)",,성공,
(1)800행가양댐50,양댐퍼 N50,,,P0000CBW,"행거레일댐퍼형(30kg,50kg,80kg)",,성공,
(1)800행가양댐80,양댐퍼 N80,,,P0000CBW,"행거레일댐퍼형(30kg,50kg,80kg)",,성공,
(1)800엘가이드,엘가이드,,,P0000CBW,"행거레일댐퍼형(30kg,50kg,80kg)",,성공,
(1)201석고텍스KCC,석고텍스 9.5T x 300 x 600 18매/1Box(1평),,,P0000CBB,"벽산 석고텍스9.5T x 300 x 600, 18매/1Box(1평)",,성공,
(1)300A12736B,2.7T x 910 x 1820 동남아산,,,P0000CAT,일반합판 3*6910x1820mm,,성공,
(1)300A24636B,4.6T x 910 x 1820 동남아산,,,P0000CAT,일반합판 3*6910x1820mm,,성공,
(1)300A48536알,8.5T x 910 x 1820 동남아산 (알비자),,,P0000CAT,일반합판 3*6910x1820mm,,성공,
(1)300A38536B,8.5T x 910 x 1820 동남아산 (고급),,,P0000CAT,일반합판 3*6910x1820mm,,성공,
(1)300A511536B,11.5T x 910 x 1820 동남아산 (고급),,,P0000CAT,일반합판 3*6910x1820mm,,성공,
(1)300A611536M,11.5T x 910 x 1820 베트남산 (MLH),,,P0000CAT,일반합판 3*6910x1820mm,,성공,
,마또아 19 x 90 x 1800,,,,,,실패,
,마또아 19 x 90 x 2100,,,,,,실패,
,마또아 19 x 90 x 2400,,,,,,실패,
,마또아 19 x 90 x 2700,,,,,,실패,
,마또아 19 x 90 x 3000,,,,,,실패,
,마또아 19 x 90 x 3300,,,,,,실패,
,마또아 19 x 90 x 3600,,,,,,실패,
,마또아 19 x 90 x 3900,,,,,,실패,
(1)800장갑기능소,기능성장갑 (소),,,P0000CAH,NBR코팅 장갑,,성공,
(1)800장갑기능중,기능성장갑 (중),,,P0000CAH,NBR코팅 장갑,,성공,
(1)800장갑기능대,기능성장갑 (대),,,P0000CAH,NBR코팅 장갑,,성공,
(1)80011일반경실,일반경첩 - 실버,,,P0000BZG,"일반경첩실버,골드,블랙",,성공,
(1)80012일반경골,일반경첩 - 골드,,,P0000BZG,"일반경첩실버,골드,블랙",,성공,
(1)80013일반경블,일반경첩 - 블랙,,,P0000BZG,"일반경첩실버,골드,블랙",,성공,
(1)800실6401GR,BPL-6401 실버,,,P0000BZF,실린더BPL-6401 GR (핀/실버),,성공,
(1)800실1701GR,BPL-1701 실버,,,P0000BZE,실린더BPL-1701 GR (핀/실버),,성공,
(1)800실5101GR,BPL-5101 실버,,,P0000BZD,실린더BPL-5101 GR (핀/실버),,성공,
(1)800실5100GR,BPL-5100 실버,,,P0000BZC,실린더BPL-5100 GR (키/실버) KEY,,성공,
(1)800실5001GR,BPL-5001 실버,,,P0000BZB,실린더BPL-5001 GR (핀/실버),,성공,
(1)800실5001WT,BPL-5001 화이트,,,P0000BZB,실린더BPL-5001 GR (핀/실버),,성공,
(1)800실5001BK,BPL-5001 블랙,,,P0000BZB,실린더BPL-5001 GR (핀/실버),,성공,
(1)800실5000GR,BPL-5000 실버,,,P0000BZA,실린더BPL-5000 GR (키/실버) KEY,,성공,
(1)800실5000WT,BPL-5000 화이트,,,P0000BZA,실린더BPL-5000 GR (키/실버) KEY,,성공,
(1)800실5000BK,BPL-5000 블랙,,,P0000BZA,실린더BPL-5000 GR (키/실버) KEY,,성공,
,히노끼 루바 (유절/8자),,,,,,실패,
,히노끼 루바 (유절/12자),,,,,,실패,
,히노끼 루바 마감재,,,,,,실패,
,히노끼 평몰딩,,,,,,실패,
,번들단가,,,,,,실패,
,20T x 1000 x 1800,,,,,,실패,
,20T x 1000 x 2100,,,,,,실패,
,20T x 1000 x 2400,,,,,,실패,
,26T x 1000 x 1800,,,,,,실패,
,26T x 1000 x 2100,,,,,,실패,
,26T x 1000 x 2400,,,,,,실패,
,18T x 1220 x 2440,,,,,,실패,
,24T x 1220 x 2440,,,,,,실패,
,18T x 915 x 2300,,,,,,실패,
,기타규격,,,,,,실패,
,대나무 집성목 12T 1220*2200,,,,,,실패,
,대나무 집성목 15T 1220*2200,,,,,,실패,
,대나무 집성목 18T 1220*2200,,,,,,실패,
,19 x 90 x 2400,,,,,,실패,
,기타규격,,,,,,실패,
,카플 19 x 90 x 1800,,,,,,실패,
,카플 19 x 90 x 2100,,,,,,실패,
,카플 19 x 90 x 2400,,,,,,실패,
,카플 19 x 90 x 2700,,,,,,실패,
,카플 19 x 90 x 3000,,,,,,실패,
,카플 19 x 90 x 3300,,,,,,실패,
,카플 19 x 90 x 3600,,,,,,실패,
,카플 19 x 90 x 3900,,,,,,실패,
,19 x 90 x 2400,,,,,,실패,
