품목코드,품목명,품목분류명,"재고

or주문재",정찰제 정보,"1단가

(VIP)","2단가

(쇼핑)",3단가,4단가,--,"[최근]

단가변동일","[최근]

재고조사일"
(1)100구조재A14,◈구조재 1*4 12자 (19*89) 원포,기타목재,재고,"6120 포함
13 / 26 / 33 / 37","6,300","7,100","7,400","7,700",,인상 25/10/23,실사 25/12/23
(1)100구조재A16,◈구조재 1*6 12자 (19*140) 원식스,기타목재,재고,"11400 포함
14 / 30 / 40 / 46","11,900","13,500","14,500","15,200",,인하 25/11/4,실사 25/12/23
(1)100구조재A18,◈구조재 1*8 12자 (19*184) 원에잇,기타목재,재고,"14500 포함
15 / 32 / 40 / 47","15,200","17,400","18,500","19,400",,인상 25/10/22,실사 25/12/23
(1)100구조재B110,◈구조재 1*10 12자 (19*235) 원텐,기타목재,재고,"18000 포함
14 / 32 / 38 / 44","18,600","21,500","22,500","23,600",,인하 24/8/13,실사 25/12/23
(1)100구조재B112,◈구조재 1*12 12자 (19*286) 원투엘브,기타목재,재고,"23400 포함
14 / 30 / 36 / 42","24,300","27,700","29,000","30,300",,인상 25/3/31,실사 25/12/23
(1)100구조재C22,◈구조재 2*2 12자 (38*38) 투투,기타목재,재고,"4400 포함
14 / 28 / 35 / 40","4,600","5,200","5,400","5,600",,인상 25/7/9,실사 25/12/23
(1)100구조재C24,◈구조재 2*4 12자 (38*89) 투포,기타목재,재고,"8800 포함
13 / 24 / 28 / 34","9,000","10,000","10,300","10,800",,인상 26/2/3,실사 25/12/23
(1)100구조재C26,◈구조재 2*6 12자 (38*140) 투식스,기타목재,재고,"14000 포함
14 / 27 / 35 / 42","14,500","16,200","17,200","18,000",,인상 25/10/22,실사 25/12/23
(1)100구조재C28,◈구조재 2*8 12자 (38*184) 투에잇,기타목재,재고,"21600 포함
14 / 32 / 38 / 44","22,400","25,900","27,100","28,200",,인하 24/8/13,실사 25/12/23
(1)100구조재D212,◈구조재 2*12 12자 (38*286) 투투엘브,기타목재,재고,"41400 포함
14 / 27 / 35 / 40","43,000","47,500","51,000","52,500",,인상 25/12/20,실사 25/12/23
(1)100구조재E70각,◈구조재 70*70 12자 ■(70각재),기타목재,재고,"18000 포함
25 / 42 / 48 / 54","20,500","23,300","24,300","25,000",,조정 24/10/24,실사 25/12/23
