상품명,상품코드,옵션 스타일,옵션 추가금액,옵션 표시방식,옵션사용,옵션세트명,품목명,품목코드
골판지 종이 보양지 (40m/1롤),P0000CTS,,0,S,Y,,풀로베니아(플라스틱) 보양재 3T x 900 x 1800,P0000CTS000A
골판지 종이 보양지 (40m/1롤),P0000CTS,,0,S,Y,,종이 롤보양재 3T x 1100 x 40M,P0000CTS000B
실린더BPL-5001 WT (핀/화이트),P0000CTR,,0,S,Y,,BPL-5001 실버,P0000CTR000A
실린더BPL-5001 WT (핀/화이트),P0000CTR,,0,S,Y,,BPL-5001 화이트,P0000CTR000B
실린더BPL-5001 WT (핀/화이트),P0000CTR,,0,S,Y,,BPL-5001 블랙,P0000CTR000C
실린더BPL-5001 BK (핀/블랙),P0000CTQ,,0,S,Y,,BPL-5001 실버,P0000CTQ000A
실린더BPL-5001 BK (핀/블랙),P0000CTQ,,0,S,Y,,BPL-5001 화이트,P0000CTQ000B
실린더BPL-5001 BK (핀/블랙),P0000CTQ,,0,S,Y,,BPL-5001 블랙,P0000CTQ000C
실린더BPL-5000 WT (키/화이트) KEY,P0000CTP,,0,S,Y,,BPL-5000 실버,P0000CTP000A
실린더BPL-5000 WT (키/화이트) KEY,P0000CTP,,0,S,Y,,BPL-5000 화이트,P0000CTP000B
실린더BPL-5000 WT (키/화이트) KEY,P0000CTP,,0,S,Y,,BPL-5000 블랙,P0000CTP000C
실린더BPL-5000 BK (키/블랙) KEY,P0000CTO,,0,S,Y,,BPL-5000 실버,P0000CTO000A
실린더BPL-5000 BK (키/블랙) KEY,P0000CTO,,0,S,Y,,BPL-5000 화이트,P0000CTO000B
실린더BPL-5000 BK (키/블랙) KEY,P0000CTO,,0,S,Y,,BPL-5000 블랙,P0000CTO000C
월드폼월드 251건,P0000CTN,,0,S,Y,,월드폼 월드 251건,P0000CTN000B
월드폼티탄 B1 난연폼,P0000CTM,,0,S,Y,,월드폼 티탄 B1 난연폼,P0000CTM000B
